,Symbol,Name,Stock Exchange,RBICS Economy,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,ESG Rating
1242,SPSC,"SPS Commerce, Inc.",NASDAQ,Technology,293.4,3.5,7.4,4.0,BBB,Low
1243,SPTN,SpartanNash Company,NASDAQ,Consumer Non-Cyclicals,"9,038.3",2.9,5.8,4.5,BBB,Low
1244,SPXC,SPX Corporation,NYSE,Industrials,"1,551.9",3.9,5.5,5.3,BB,Low
1245,SR,Spire Inc.,NYSE,Utilities,"1,826.6",3.0,6.1,6.4,BB,Low
1246,SRC,"Spirit Realty Capital, Inc.",NYSE,Finance,511.1,3.8,5.5,3.1,B,Low
1247,SRCL,"Stericycle, Inc.",NASDAQ,Healthcare,"3,016.2",1.6,4.9,4.4,CCC,Low
1248,SRDX,Surmodics Inc,NASDAQ,Healthcare,103.1,6.2,4.1,6.4,BBB,Low
1249,SRE,Sempra Energy,NYSE,Utilities,"11,187.0",5.7,7.0,3.1,A,High
1250,SSD,"Simpson Manufacturing Co., Inc.",NYSE,Non-Energy Materials,"1,182.2",3.2,5.9,6.7,B,Low
1251,SSP,E. W. Scripps Company Class A,NASDAQ,Consumer Services,"1,567.3",8.0,4.1,5.3,BB,Low
1252,SSTK,"Shutterstock, Inc.",NYSE,Technology,646.0,6.2,5.7,2.5,B,Low
1253,STAR,iStar Inc.,NYSE,Finance,517.9,5.6,6.3,3.8,BB,Low
1254,STBA,"S&T Bancorp, Inc.",NASDAQ,Finance,381.5,1.2,8.0,3.4,BB,Low
1255,STC,Stewart Information Services Corporation,NYSE,Finance,"2,042.5",2.6,7.8,2.6,BB,Low
1256,STE,STERIS Plc,NYSE,Healthcare,"3,003.0",9.2,5.2,5.2,A,High
1257,STL,Sterling Bancorp,NYSE,Finance,"1,258.2",1.2,6.9,3.3,BB,Low
1258,STLD,"Steel Dynamics, Inc.",NASDAQ,Non-Energy Materials,"9,546.4",3.3,5.4,5.3,A,High
1259,STMP,Stamps.com Inc.,NASDAQ,Consumer Cyclicals,655.2,6.2,0.5,4.9,B,Low
1260,STOR,STORE Capital Corporation,NYSE,Finance,694.2,4.0,7.2,2.7,B,Low
1261,STRA,"Strategic Education, Inc.",NASDAQ,Consumer Non-Cyclicals,"1,026.7",4.6,5.8,4.1,BB,Low
1262,STT,State Street Corporation,NYSE,Finance,"12,035.0",10.0,7.3,5.2,AA,High
1263,STX,Seagate Technology PLC,NASDAQ,Technology,"10,509.0",3.5,7.1,4.2,BBB,Low
1264,STZ,"Constellation Brands, Inc. Class A",NYSE,Consumer Non-Cyclicals,"8,209.3",3.3,3.0,5.6,BB,Low
1265,SUPN,"Supernus Pharmaceuticals, Inc.",NASDAQ,Healthcare,402.3,4.9,3.8,3.8,BB,Low
1266,SVC,Service Properties Trust,NASDAQ,Finance,"1,879.4",5.9,2.0,5.1,B,Low
1267,SWK,"Stanley Black & Decker, Inc.",NYSE,Industrials,"13,624.1",3.7,6.8,3.3,BBB,Low
1268,SWKS,"Skyworks Solutions, Inc.",NASDAQ,Technology,"3,226.3",5.4,5.3,7.0,A,High
1269,SWM,"Schweitzer-Mauduit International, Inc.",NYSE,Consumer Non-Cyclicals,"1,010.4",3.5,5.4,4.6,B,Low
1270,SWN,Southwestern Energy Company,NYSE,Energy,"2,383.0",2.1,6.1,5.6,BBB,Low
1271,SWX,"Southwest Gas Holdings, Inc.",NYSE,Industrials,"3,166.9",4.9,7.0,5.8,A,High
1272,SXC,"SunCoke Energy, Inc.",NYSE,Energy,"1,522.2",0.6,5.4,5.2,BB,Low
1273,SXI,Standex International Corporation,NYSE,Industrials,674.3,3.8,5.6,3.8,BB,Low
1274,SXT,Sensient Technologies Corporation,NYSE,Non-Energy Materials,"1,310.0",3.9,7.2,3.1,BB,Low
1275,SYF,Synchrony Financial,NYSE,Finance,"14,440.0",8.0,6.8,3.9,BB,Low
1276,SYK,Stryker Corporation,NYSE,Healthcare,"14,070.0",8.9,4.7,3.8,B,Low
1277,SYKE,"Sykes Enterprises, Incorporated",NASDAQ,Business Services,"1,645.7",8.3,5.7,4.5,A,High
1278,SYNA,Synaptics Incorporated,NASDAQ,Technology,"1,351.4",4.9,6.7,4.3,BB,Low
1279,SYNH,"Syneos Health, Inc. Class A",NASDAQ,Healthcare,"4,566.7",5.7,4.7,3.7,B,Low
1280,SYY,Sysco Corporation,NYSE,Consumer Non-Cyclicals,"52,893.3",2.7,6.2,4.5,BBB,Low
1281,T,AT&T Inc.,NYSE,Telecommunications,"175,210.0",10.0,4.3,4.6,BB,Low
1282,TALO,"Talos Energy, Inc.",NYSE,Energy,738.7,1.9,6.5,3.5,BB,Low
1283,TAP,Molson Coors Beverage Company Class B,NYSE,Consumer Non-Cyclicals,"9,934.0",5.6,5.5,8.8,AA,High
1284,TBI,"TrueBlue, Inc.",NYSE,Business Services,"2,081.0",8.0,6.7,6.3,AA,High
1285,TBK,"Triumph Bancorp, Inc.",NASDAQ,Finance,344.6,1.2,8.3,3.2,BB,Low
1286,TCBI,"Texas Capital Bancshares, Inc.",NASDAQ,Finance,"1,370.3",1.0,6.0,4.4,BBB,Low
1287,TCF,TCF Financial Corporation,NASDAQ,Finance,"2,432.5",1.5,7.9,4.0,BBB,Low
1288,TCMD,"Tactile Systems Technology, Inc.",NASDAQ,Healthcare,185.5,6.2,3.5,6.8,BBB,Low
1289,TCO,"Taubman Centers, Inc.",NYSE,Finance,436.3,5.0,6.2,1.3,B,Low
1290,TDC,Teradata Corporation,NYSE,Technology,"1,844.0",6.0,5.9,6.7,AAA,High
1291,TDG,TransDigm Group Incorporated,NYSE,Industrials,"5,302.3",2.4,4.2,3.8,BB,Low
1292,TDS,"Telephone and Data Systems, Inc.",NYSE,Telecommunications,"5,182.0",6.2,4.6,4.4,B,Low
1293,TDY,Teledyne Technologies Incorporated,NYSE,Industrials,"3,166.0",3.9,4.9,5.2,A,High
1294,TECH,Bio-Techne Corporation,NASDAQ,Healthcare,738.7,7.1,5.1,3.2,BB,Low
1295,TEL,TE Connectivity Ltd.,NYSE,Technology,"12,211.0",5.3,5.4,4.4,A,High
1296,TER,"Teradyne, Inc.",NASDAQ,Technology,"2,779.7",3.6,6.0,4.8,BB,Low
1297,TEX,Terex Corporation,NYSE,Industrials,"3,433.7",4.1,5.9,5.5,BBB,Low
1298,TFC,Truist Financial Corporation,NYSE,Finance,"19,961.0",0.7,7.1,4.1,BBB,Low
1299,TFX,Teleflex Incorporated,NYSE,Healthcare,"2,526.9",7.6,4.9,4.1,BB,Low
1300,TG,Tredegar Corporation,NYSE,Non-Energy Materials,922.6,2.8,5.9,0.4,B,Low
1301,TGI,"Triumph Group, Inc.",NYSE,Industrials,"2,665.0",2.0,5.9,3.7,BB,Low
1302,TGNA,"TEGNA, Inc.",NYSE,Consumer Services,"2,311.1",8.3,5.1,4.6,BBB,Low
1303,TGT,Target Corporation,NYSE,Consumer Non-Cyclicals,"80,100.0",5.9,5.7,5.5,A,High
1304,THC,Tenet Healthcare Corporation,NYSE,Healthcare,"17,542.0",6.5,4.2,3.9,BB,Low
1305,THG,"Hanover Insurance Group, Inc.",NYSE,Finance,"4,810.3",3.3,7.1,4.0,BBB,Low
1306,THO,"Thor Industries, Inc.",NYSE,Consumer Cyclicals,"8,155.5",4.9,5.3,3.9,BBB,Low
1307,THRM,Gentherm Incorporated,NASDAQ,Consumer Cyclicals,835.8,4.1,7.0,4.9,AA,High
1308,THS,"TreeHouse Foods, Inc.",NYSE,Consumer Non-Cyclicals,"3,863.9",2.7,5.6,5.3,BBB,Low
1309,TIF,Tiffany & Co.,NYSE,Consumer Cyclicals,"3,976.4",5.7,6.1,7.5,AAA,High
1310,TILE,"Interface, Inc.",NASDAQ,Consumer Non-Cyclicals,"1,235.5",7.5,4.7,5.3,BBB,Low
1311,TISI,"Team, Inc.",NYSE,Industrials,"1,004.0",,,,@NA,Low
1312,TJX,TJX Companies Inc,NYSE,Consumer Non-Cyclicals,"36,848.3",3.8,6.6,4.5,BBB,Low
1313,TKR,Timken Company,NYSE,Industrials,"3,537.1",4.1,5.8,5.8,BBB,Low
1314,TMHC,Taylor Morrison Home Corporation,NYSE,Consumer Cyclicals,"5,443.9",5.4,5.4,3.7,BBB,Low
1315,TMO,Thermo Fisher Scientific Inc.,NYSE,Healthcare,"26,248.0",9.2,6.5,3.4,BBB,Low
1316,TMP,Tompkins Financial Corporation,NYSE AMERICAN,Finance,330.3,1.9,5.7,3.9,B,Low
1317,TMST,TimkenSteel Corp,NYSE,Non-Energy Materials,914.7,,,,@NA,Low
1318,TMUS,"T-Mobile US, Inc.",NASDAQ,Telecommunications,"51,723.0",10.0,4.3,4.4,BB,Low
1319,TNC,Tennant Company,NYSE,Industrials,"1,041.7",5.5,6.1,4.7,A,High
1320,TOL,"Toll Brothers, Inc.",NYSE,Consumer Cyclicals,"7,025.2",4.1,4.6,1.6,B,Low
1321,TPH,TRI Pointe Group Inc,NYSE,Consumer Cyclicals,"3,256.8",3.6,4.8,4.5,BB,Low
1322,TPR,"Tapestry, Inc.",NYSE,Consumer Cyclicals,"4,961.4",3.9,6.0,4.8,BBB,Low
